pregunta,respuesta,categoria,nivel_alerta
no tengo ganas de hacer nada hoy,no tienes que pasar por esto solo,emocional_moderado,medio
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento presionado por el colegio ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hacerme daño en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero hacerme daño en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero hablar con nadie ultimamente,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero apoyo emocional,el area psicologica puede ayudarte,apoyo_psicologico,alto
no tengo ganas de hacer nada,seria bueno hablar con el area psicologica,emocional_moderado,medio
no me siento bien en mi familia hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
no quiero estudiar,puedes comenzar con pequeñas metas,motivacion,medio
buenas noches ultimamente,en que puedo ayudarte hoy,saludo,bajo
quiero rendirme ahora,puedes comenzar con pequeñas metas,motivacion,medio
hay conflictos en mi hogar en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento presionado por el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
no entiendo mis materias en el colegio,podemos buscar soluciones juntos,estres_academico,medio
mis padres discuten mucho ahora,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
tengo problemas en mi casa ultimamente,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento presionado por el colegio en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento muy mal ahora,no tienes que pasar por esto solo,emocional_moderado,medio
como estas en mi casa,puedes contar conmigo,saludo,bajo
necesito ayuda profesional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
no me siento bien en mi familia,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento presionado por el colegio hoy,puedes organizar mejor tu tiempo,estres_academico,medio
buenos dias ahora,puedes contar conmigo,saludo,bajo
quiero rendirme hoy,no estas solo puedes recibir apoyo,motivacion,medio
me siento muy mal en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento solo hoy,puedes contarme que paso,emocional_leve,bajo
hola hoy,estoy aqui para escucharte,saludo,bajo
quiero apoyo emocional en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero hablar con nadie ultimamente,seria bueno hablar con el area psicologica,emocional_moderado,medio
como estas en mi casa,en que puedo ayudarte hoy,saludo,bajo
me siento presionado por el colegio en el colegio,podemos buscar soluciones juntos,estres_academico,medio
me preocupo demasiado en el colegio,puedes intentar respirar profundamente,ansiedad,medio
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
mis padres discuten mucho ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no tengo motivacion ahora,podemos buscar soluciones juntos,motivacion,medio
quiero apoyo emocional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento muy mal hoy,no tienes que pasar por esto solo,emocional_moderado,medio
quiero apoyo emocional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
tengo muchas tareas en mi casa,podemos buscar soluciones juntos,estres_academico,medio
hola chatbot ahora,estoy aqui para escucharte,saludo,bajo
quiero rendirme en mi casa,podemos buscar soluciones juntos,motivacion,medio
necesito ayuda profesional hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero rendirme en el colegio,podemos buscar soluciones juntos,motivacion,medio
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
no entiendo mis materias,puedes organizar mejor tu tiempo,estres_academico,medio
quiero hacerme daño en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
me siento vacio ultimamente,puedes buscar apoyo emocional,emocional_moderado,medio
todo me sale mal,seria bueno hablar con el area psicologica,emocional_moderado,medio
no me siento bien en mi familia ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento triste ahora,quieres contarme un poco mas,emocional_leve,bajo
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento muy mal ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
me siento desanimado hoy,puedes contarme que paso,emocional_leve,bajo
buenas tardes hoy,hola estoy aqui para ayudarte,saludo,bajo
tengo muchas tareas en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
mis padres discuten mucho ahora,no tienes que enfrentar esto solo,problemas_familiares,medio
todo me sale mal ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
buenos dias ahora,en que puedo ayudarte hoy,saludo,bajo
quiero rendirme en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
quiero desaparecer ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
tengo problemas en mi casa en el colegio,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
buenas noches en el colegio,estoy aqui para escucharte,saludo,bajo
quiero desaparecer hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
no me siento bien en mi familia en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
mis padres discuten mucho en el colegio,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
tengo miedo de reprobar ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
tengo muchos examenes hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
no quiero ir al colegio,no estas solo puedes recibir apoyo,motivacion,medio
tengo problemas en mi casa hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento vacio en mi casa,puedes buscar apoyo emocional,emocional_moderado,medio
no puedo dormir en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
hola en mi casa,puedes contar conmigo,saludo,bajo
no puedo dormir hoy,puedes acudir al area psicologica,ansiedad,medio
tengo ansiedad ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
quiero hacerme daño en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
siento miedo sin razon en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
no quiero estudiar ultimamente,no estas solo puedes recibir apoyo,motivacion,medio
buenas noches en el colegio,hola estoy aqui para ayudarte,saludo,bajo
no tengo motivacion en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
quiero hablar con psicologia ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento triste hoy,quieres contarme un poco mas,emocional_leve,bajo
tengo ansiedad en mi casa,puedes acudir al area psicologica,ansiedad,medio
me siento nervioso en mi casa,puedes acudir al area psicologica,ansiedad,medio
tengo muchas tareas,puedes pedir ayuda a tus profesores,estres_academico,medio
ando sin animos en mi casa,quieres contarme un poco mas,emocional_leve,bajo
que tal ultimamente,puedes contar conmigo,saludo,bajo
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
buenas noches hoy,hola estoy aqui para ayudarte,saludo,bajo
tengo muchas tareas,podemos buscar soluciones juntos,estres_academico,medio
me siento presionado por el colegio ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento vacio,seria bueno hablar con el area psicologica,emocional_moderado,medio
no tengo motivacion en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
tengo problemas en mi casa en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento triste en el colegio,puedes contarme que paso,emocional_leve,bajo
tengo ansiedad en mi casa,puedes acudir al area psicologica,ansiedad,medio
quiero apoyo emocional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
hola hoy,hola estoy aqui para ayudarte,saludo,bajo
me siento muy mal ultimamente,seria bueno hablar con el area psicologica,emocional_moderado,medio
tengo miedo de reprobar,puedes pedir ayuda a tus profesores,estres_academico,medio
buenas tardes ultimamente,estoy aqui para escucharte,saludo,bajo
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero ir al colegio en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
me siento raro ultimamente,hablar puede ayudarte mucho,emocional_leve,bajo
quiero desaparecer ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo ansiedad ahora,puedes intentar respirar profundamente,ansiedad,medio
como estas ultimamente,hola estoy aqui para ayudarte,saludo,bajo
quiero apoyo emocional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
siento miedo sin razon en el colegio,puedes intentar respirar profundamente,ansiedad,medio
no quiero vivir,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero ir al colegio en mi casa,podemos buscar soluciones juntos,motivacion,medio
no quiero ir al colegio en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no me siento bien en mi familia en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
tengo miedo de reprobar ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero rendirme ahora,no estas solo puedes recibir apoyo,motivacion,medio
no entiendo mis materias,puedes organizar mejor tu tiempo,estres_academico,medio
no quiero vivir en el colegio,busca ayuda urgente con un adulto de confianza,emergencia,critico
buenas tardes hoy,estoy aqui para escucharte,saludo,bajo
me siento nervioso,hablar con alguien puede ayudarte,ansiedad,medio
buenos dias,estoy aqui para escucharte,saludo,bajo
quiero desaparecer ahora,es importante hablar inmediatamente con psicologia,emergencia,critico
mis padres discuten mucho en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
todo me sale mal,puedes buscar apoyo emocional,emocional_moderado,medio
me preocupo demasiado hoy,puedes acudir al area psicologica,ansiedad,medio
no quiero ir al colegio ahora,puedes comenzar con pequeñas metas,motivacion,medio
quiero desaparecer ahora,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero hablar con nadie ahora,no tienes que pasar por esto solo,emocional_moderado,medio
hola,puedes contar conmigo,saludo,bajo
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero rendirme ahora,no estas solo puedes recibir apoyo,motivacion,medio
me siento desanimado,puedes contarme que paso,emocional_leve,bajo
quiero desaparecer hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
me preocupo demasiado ahora,hablar con alguien puede ayudarte,ansiedad,medio
necesito ayuda profesional en el colegio,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
como estas ultimamente,en que puedo ayudarte hoy,saludo,bajo
hola chatbot en mi casa,en que puedo ayudarte hoy,saludo,bajo
no tengo motivacion ahora,no estas solo puedes recibir apoyo,motivacion,medio
no tengo motivacion hoy,puedes comenzar con pequeñas metas,motivacion,medio
no puedo dormir hoy,hablar con alguien puede ayudarte,ansiedad,medio
quiero apoyo emocional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
no me siento bien en mi familia en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo muchos examenes en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
hola chatbot ultimamente,hola estoy aqui para ayudarte,saludo,bajo
me siento muy mal,seria bueno hablar con el area psicologica,emocional_moderado,medio
no entiendo mis materias en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento muy mal en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero hacerme daño,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
no tengo motivacion en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
quiero hablar con psicologia,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero apoyo emocional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
ando sin animos en el colegio,quieres contarme un poco mas,emocional_leve,bajo
no quiero estudiar ahora,podemos buscar soluciones juntos,motivacion,medio
hola en mi casa,hola estoy aqui para ayudarte,saludo,bajo
no quiero vivir en el colegio,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo problemas en mi casa ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
buenos dias ahora,puedes contar conmigo,saludo,bajo
necesito ayuda profesional en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento muy mal ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
hola chatbot ultimamente,hola estoy aqui para ayudarte,saludo,bajo
quiero apoyo emocional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero desaparecer ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
me preocupo demasiado ultimamente,puedes acudir al area psicologica,ansiedad,medio
no puedo dormir ahora,puedes acudir al area psicologica,ansiedad,medio
no me siento bien en mi familia en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
tengo miedo de reprobar hoy,podemos buscar soluciones juntos,estres_academico,medio
que tal hoy,en que puedo ayudarte hoy,saludo,bajo
me siento raro ultimamente,hablar puede ayudarte mucho,emocional_leve,bajo
me siento desanimado ahora,puedes contarme que paso,emocional_leve,bajo
mis padres discuten mucho en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento nervioso ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
me siento raro ahora,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero rendirme,podemos buscar soluciones juntos,motivacion,medio
quiero rendirme en el colegio,podemos buscar soluciones juntos,motivacion,medio
mis padres discuten mucho en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
tengo muchas tareas ultimamente,puedes organizar mejor tu tiempo,estres_academico,medio
me siento nervioso,hablar con alguien puede ayudarte,ansiedad,medio
siento miedo sin razon en mi casa,puedes intentar respirar profundamente,ansiedad,medio
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo muchas tareas,podemos buscar soluciones juntos,estres_academico,medio
hay conflictos en mi hogar ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo muchas tareas en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
me siento desanimado en el colegio,hablar puede ayudarte mucho,emocional_leve,bajo
no me siento bien en mi familia hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento solo ultimamente,puedes contarme que paso,emocional_leve,bajo
mis padres discuten mucho,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero rendirme ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
me siento presionado por el colegio ultimamente,puedes organizar mejor tu tiempo,estres_academico,medio
me siento solo en el colegio,hablar puede ayudarte mucho,emocional_leve,bajo
siento miedo sin razon,puedes acudir al area psicologica,ansiedad,medio
me siento presionado por el colegio ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hablar con psicologia ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero ir al colegio,podemos buscar soluciones juntos,motivacion,medio
no quiero ir al colegio ahora,puedes comenzar con pequeñas metas,motivacion,medio
no quiero hablar con nadie en mi casa,no tienes que pasar por esto solo,emocional_moderado,medio
quiero apoyo emocional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
buenas tardes en el colegio,en que puedo ayudarte hoy,saludo,bajo
quiero apoyo emocional,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero rendirme en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
hola,hola estoy aqui para ayudarte,saludo,bajo
mis padres discuten mucho hoy,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento solo en el colegio,puedes contarme que paso,emocional_leve,bajo
me siento presionado por el colegio en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
siento miedo sin razon hoy,puedes intentar respirar profundamente,ansiedad,medio
me siento solo en mi casa,puedes contarme que paso,emocional_leve,bajo
tengo ansiedad en mi casa,puedes intentar respirar profundamente,ansiedad,medio
tengo problemas en mi casa hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento desanimado ultimamente,puedes contarme que paso,emocional_leve,bajo
me siento solo en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
no quiero ir al colegio en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
tengo muchos examenes ahora,puedes organizar mejor tu tiempo,estres_academico,medio
tengo miedo de reprobar hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento solo en mi casa,puedes contarme que paso,emocional_leve,bajo
no quiero ir al colegio en mi casa,no estas solo puedes recibir apoyo,motivacion,medio
no quiero hablar con nadie ahora,puedes buscar apoyo emocional,emocional_moderado,medio
no quiero estudiar en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
quiero hablar con psicologia ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero estudiar ahora,puedes comenzar con pequeñas metas,motivacion,medio
no quiero estudiar en mi casa,podemos buscar soluciones juntos,motivacion,medio
no me siento bien en mi familia ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
no tengo ganas de hacer nada,puedes buscar apoyo emocional,emocional_moderado,medio
hola chatbot en el colegio,puedes contar conmigo,saludo,bajo
no quiero hablar con nadie ahora,no tienes que pasar por esto solo,emocional_moderado,medio
me siento presionado por el colegio ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
necesito ayuda profesional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
siento miedo sin razon en el colegio,puedes acudir al area psicologica,ansiedad,medio
me siento desanimado en el colegio,puedes contarme que paso,emocional_leve,bajo
tengo miedo de reprobar en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
buenas noches hoy,puedes contar conmigo,saludo,bajo
me siento presionado por el colegio,podemos buscar soluciones juntos,estres_academico,medio
quiero hablar con psicologia en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo ansiedad en mi casa,puedes acudir al area psicologica,ansiedad,medio
tengo problemas en mi casa en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
tengo ansiedad ahora,puedes acudir al area psicologica,ansiedad,medio
buenas tardes ahora,en que puedo ayudarte hoy,saludo,bajo
tengo ansiedad ultimamente,puedes intentar respirar profundamente,ansiedad,medio
mis padres discuten mucho hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento triste ultimamente,quieres contarme un poco mas,emocional_leve,bajo
quiero hacerme daño en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
no tengo ganas de hacer nada en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero apoyo emocional en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
como estas en mi casa,puedes contar conmigo,saludo,bajo
no quiero ir al colegio ahora,puedes comenzar con pequeñas metas,motivacion,medio
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
mis padres discuten mucho en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
no quiero vivir ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
no tengo motivacion hoy,no estas solo puedes recibir apoyo,motivacion,medio
me siento triste ahora,puedes contarme que paso,emocional_leve,bajo
como estas ultimamente,en que puedo ayudarte hoy,saludo,bajo
que tal,hola estoy aqui para ayudarte,saludo,bajo
no quiero hablar con nadie en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
no quiero estudiar en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
no quiero vivir,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero vivir,es importante hablar inmediatamente con psicologia,emergencia,critico
me siento nervioso ultimamente,puedes intentar respirar profundamente,ansiedad,medio
mis padres discuten mucho,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
tengo ansiedad en el colegio,puedes intentar respirar profundamente,ansiedad,medio
tengo miedo de reprobar en el colegio,podemos buscar soluciones juntos,estres_academico,medio
quiero rendirme en mi casa,podemos buscar soluciones juntos,motivacion,medio
me siento nervioso ultimamente,puedes intentar respirar profundamente,ansiedad,medio
quiero hablar con psicologia hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero desaparecer,busca ayuda urgente con un adulto de confianza,emergencia,critico
necesito ayuda profesional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
no puedo dormir en mi casa,puedes intentar respirar profundamente,ansiedad,medio
mis padres discuten mucho,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero vivir ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
todo me sale mal,no tienes que pasar por esto solo,emocional_moderado,medio
no tengo ganas de hacer nada ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
me siento muy mal en el colegio,no tienes que pasar por esto solo,emocional_moderado,medio
no tengo ganas de hacer nada hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
tengo ansiedad hoy,puedes acudir al area psicologica,ansiedad,medio
ando sin animos en el colegio,hablar puede ayudarte mucho,emocional_leve,bajo
hola hoy,estoy aqui para escucharte,saludo,bajo
me siento raro ahora,puedes contarme que paso,emocional_leve,bajo
me siento vacio hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hacerme daño,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero apoyo emocional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento triste ahora,puedes contarme que paso,emocional_leve,bajo
no tengo motivacion hoy,puedes comenzar con pequeñas metas,motivacion,medio
me siento muy mal en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
no quiero estudiar ahora,puedes comenzar con pequeñas metas,motivacion,medio
me siento raro ahora,quieres contarme un poco mas,emocional_leve,bajo
me siento solo ahora,hablar puede ayudarte mucho,emocional_leve,bajo
no tengo ganas de hacer nada en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
hay conflictos en mi hogar en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero rendirme,no estas solo puedes recibir apoyo,motivacion,medio
no tengo ganas de hacer nada en el colegio,puedes buscar apoyo emocional,emocional_moderado,medio
quiero hablar con psicologia ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero rendirme en el colegio,podemos buscar soluciones juntos,motivacion,medio
tengo problemas en mi casa hoy,no tienes que enfrentar esto solo,problemas_familiares,medio
no tengo ganas de hacer nada en mi casa,no tienes que pasar por esto solo,emocional_moderado,medio
quiero hablar con psicologia en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
no entiendo mis materias hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento presionado por el colegio en el colegio,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento muy mal hoy,seria bueno hablar con el area psicologica,emocional_moderado,medio
no entiendo mis materias hoy,puedes organizar mejor tu tiempo,estres_academico,medio
me siento triste ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero desaparecer ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero hablar con psicologia en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
hola,hola estoy aqui para ayudarte,saludo,bajo
no puedo dormir en mi casa,hablar con alguien puede ayudarte,ansiedad,medio
no tengo ganas de hacer nada en mi casa,no tienes que pasar por esto solo,emocional_moderado,medio
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
tengo ansiedad en el colegio,puedes intentar respirar profundamente,ansiedad,medio
necesito ayuda profesional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
hola en el colegio,puedes contar conmigo,saludo,bajo
no quiero estudiar ahora,puedes comenzar con pequeñas metas,motivacion,medio
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
tengo muchas tareas en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
no me siento bien en mi familia en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
buenas noches,hola estoy aqui para ayudarte,saludo,bajo
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
todo me sale mal,seria bueno hablar con el area psicologica,emocional_moderado,medio
no puedo dormir,hablar con alguien puede ayudarte,ansiedad,medio
me siento presionado por el colegio en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
hay conflictos en mi hogar,no tienes que enfrentar esto solo,problemas_familiares,medio
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento solo ultimamente,puedes contarme que paso,emocional_leve,bajo
me siento vacio ahora,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero hacerme daño ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero rendirme en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no quiero vivir hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
necesito ayuda profesional en el colegio,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
buenos dias ultimamente,estoy aqui para escucharte,saludo,bajo
necesito ayuda profesional en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero desaparecer en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
hola,en que puedo ayudarte hoy,saludo,bajo
tengo muchos examenes ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
siento miedo sin razon ahora,hablar con alguien puede ayudarte,ansiedad,medio
no quiero estudiar,podemos buscar soluciones juntos,motivacion,medio
no entiendo mis materias en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
todo me sale mal ultimamente,no tienes que pasar por esto solo,emocional_moderado,medio
hola hoy,en que puedo ayudarte hoy,saludo,bajo
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento triste en mi casa,no estas solo puedes hablar conmigo,emocional_leve,bajo
quiero hacerme daño en el colegio,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero hablar con psicologia en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero estudiar en el colegio,podemos buscar soluciones juntos,motivacion,medio
quiero desaparecer,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento presionado por el colegio,podemos buscar soluciones juntos,estres_academico,medio
me siento nervioso ahora,puedes intentar respirar profundamente,ansiedad,medio
no tengo motivacion,no estas solo puedes recibir apoyo,motivacion,medio
me siento nervioso hoy,hablar con alguien puede ayudarte,ansiedad,medio
hay conflictos en mi hogar,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
que tal en mi casa,puedes contar conmigo,saludo,bajo
me siento triste hoy,hablar puede ayudarte mucho,emocional_leve,bajo
me siento desanimado ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
me siento presionado por el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
necesito ayuda profesional,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento presionado por el colegio en mi casa,podemos buscar soluciones juntos,estres_academico,medio
no entiendo mis materias en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
todo me sale mal,puedes buscar apoyo emocional,emocional_moderado,medio
como estas en el colegio,puedes contar conmigo,saludo,bajo
ando sin animos ahora,puedes contarme que paso,emocional_leve,bajo
me siento solo en mi casa,hablar puede ayudarte mucho,emocional_leve,bajo
no entiendo mis materias ahora,podemos buscar soluciones juntos,estres_academico,medio
