id,pregunta,categoria,intencion,emocion_detectada,nivel_alerta,respuesta,recomendacion,pregunta_seguimiento,respuesta_final,tecnica_apoyo,contexto,requiere_derivacion,prioridad_atencion,accion_sistema
292,hoy estoy estresado por el colegio por los examenes,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Es normal sentirse así cuando se juntan exámenes, tareas y responsabilidades.","Haz primero lo que tenga entrega más cercana, aunque avances solo una parte.","¿Qué parte te bloquea más: empezar, entender o terminar?","Es normal sentirse así cuando se juntan exámenes, tareas y responsabilidades.

Recomendación: Haz primero lo que tenga entrega más cercana, aunque avances solo una parte.

¿Qué parte te bloquea más: empezar, entender o terminar?",priorizacion,organizacion,NO,MEDIA,Registrar análisis emocional
293,ultimamente estoy estresado por el colegio por los examenes,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Cuando todo parece urgente, lo primero es separar y ordenar, no hacerlo todo de golpe.","Anota todas tus tareas y marca solo tres prioridades para hoy: urgente, importante y pendiente.",¿Tienes una fecha de entrega cercana?,"Cuando todo parece urgente, lo primero es separar y ordenar, no hacerlo todo de golpe.

Recomendación: Anota todas tus tareas y marca solo tres prioridades para hoy: urgente, importante y pendiente.

¿Tienes una fecha de entrega cercana?",pomodoro,academico,NO,MEDIA,Registrar análisis emocional
294,estoy estresado por el colegio por los examenes y necesito ayuda,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,Tu cansancio tiene sentido si estás intentando sostener demasiadas cosas a la vez.,Trabaja 25 minutos y descansa 5. Empieza por la tarea más pequeña para recuperar avance.,¿Quieres que te ayude a ordenar tus tareas por prioridad?,"Tu cansancio tiene sentido si estás intentando sostener demasiadas cosas a la vez.

Recomendación: Trabaja 25 minutos y descansa 5. Empieza por la tarea más pequeña para recuperar avance.

¿Quieres que te ayude a ordenar tus tareas por prioridad?",planificacion,organizacion,NO,MEDIA,Registrar análisis emocional
295,estoy estresado por el colegio por los examenes puedes ayudarme,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Entiendo que te sientas sobrecargado. Cuando hay muchas tareas, la mente puede bloquearse.",Evita intentar hacer todo al mismo tiempo; elige una tarea y termina una parte concreta.,¿Qué tarea o materia te preocupa más ahora?,"Entiendo que te sientas sobrecargado. Cuando hay muchas tareas, la mente puede bloquearse.

Recomendación: Evita intentar hacer todo al mismo tiempo; elige una tarea y termina una parte concreta.

¿Qué tarea o materia te preocupa más ahora?",priorizacion,academico,NO,MEDIA,Registrar análisis emocional
296,estoy estresado por el colegio en matematicas,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"La presión académica puede sentirse pesada, pero dividir el problema ayuda a recuperar control.","Divide una tarea grande en tres pasos: leer, resolver una parte y revisar.",¿Qué es lo primero que podrías avanzar en 15 minutos?,"La presión académica puede sentirse pesada, pero dividir el problema ayuda a recuperar control.

Recomendación: Divide una tarea grande en tres pasos: leer, resolver una parte y revisar.

¿Qué es lo primero que podrías avanzar en 15 minutos?",pomodoro,organizacion,NO,MEDIA,Registrar análisis emocional
297,hoy estoy estresado por el colegio en matematicas,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Gracias por contarlo. No significa que no puedas, significa que necesitas ordenar la carga.","Haz primero lo que tenga entrega más cercana, aunque avances solo una parte.",¿Cuántas tareas tienes pendientes aproximadamente?,"Gracias por contarlo. No significa que no puedas, significa que necesitas ordenar la carga.

Recomendación: Haz primero lo que tenga entrega más cercana, aunque avances solo una parte.

¿Cuántas tareas tienes pendientes aproximadamente?",planificacion,academico,NO,MEDIA,Registrar análisis emocional
298,ultimamente estoy estresado por el colegio en matematicas,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Es normal sentirse así cuando se juntan exámenes, tareas y responsabilidades.","Anota todas tus tareas y marca solo tres prioridades para hoy: urgente, importante y pendiente.",¿Tienes una fecha de entrega cercana?,"Es normal sentirse así cuando se juntan exámenes, tareas y responsabilidades.

Recomendación: Anota todas tus tareas y marca solo tres prioridades para hoy: urgente, importante y pendiente.

¿Tienes una fecha de entrega cercana?",priorizacion,organizacion,NO,MEDIA,Registrar análisis emocional
299,estoy estresado por el colegio en matematicas y necesito ayuda,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,"Cuando todo parece urgente, lo primero es separar y ordenar, no hacerlo todo de golpe.",Trabaja 25 minutos y descansa 5. Empieza por la tarea más pequeña para recuperar avance.,¿Quieres que te ayude a ordenar tus tareas por prioridad?,"Cuando todo parece urgente, lo primero es separar y ordenar, no hacerlo todo de golpe.

Recomendación: Trabaja 25 minutos y descansa 5. Empieza por la tarea más pequeña para recuperar avance.

¿Quieres que te ayude a ordenar tus tareas por prioridad?",pomodoro,academico,NO,MEDIA,Registrar análisis emocional
300,estoy estresado por el colegio en matematicas puedes ayudarme,estres_academico,apoyo_estres_academico,ESTRESADO,MEDIA,Tu cansancio tiene sentido si estás intentando sostener demasiadas cosas a la vez.,"Si no entiendes una materia, apunta exactamente qué parte no entiendes para preguntar al profesor.","¿Qué parte te bloquea más: empezar, entender o terminar?","Tu cansancio tiene sentido si estás intentando sostener demasiadas cosas a la vez.

Recomendación: Si no entiendes una materia, apunta exactamente qué parte no entiendes para preguntar al profesor.

¿Qué parte te bloquea más: empezar, entender o terminar?",planificacion,organizacion,NO,MEDIA,Registrar análisis emocional
301,me siento triste,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Sabes qué pudo causar esta tristeza?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Sabes qué pudo causar esta tristeza?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
302,hoy me siento triste,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Hay alguien cercano con quien puedas hablar hoy?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Hay alguien cercano con quien puedas hablar hoy?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
303,ultimamente me siento triste,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Esta tristeza aparece todo el día o por momentos?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Esta tristeza aparece todo el día o por momentos?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
304,me siento triste y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.","Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Desde cuándo te sientes así?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Desde cuándo te sientes así?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
305,me siento triste puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.",No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Quieres contarme qué fue lo más difícil de tu día?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Quieres contarme qué fue lo más difícil de tu día?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
306,me siento triste desde ayer,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.","Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Qué necesitarías escuchar ahora mismo?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Qué necesitarías escuchar ahora mismo?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
307,hoy me siento triste desde ayer,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Hay alguien cercano con quien puedas hablar hoy?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Hay alguien cercano con quien puedas hablar hoy?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
308,ultimamente me siento triste desde ayer,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Esta tristeza aparece todo el día o por momentos?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Esta tristeza aparece todo el día o por momentos?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
309,me siento triste desde ayer y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Sabes qué pudo causar esta tristeza?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Sabes qué pudo causar esta tristeza?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
310,me siento triste desde ayer puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.",No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Quieres contarme qué fue lo más difícil de tu día?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Quieres contarme qué fue lo más difícil de tu día?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
311,me siento triste y no se por que,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.","Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Qué necesitarías escuchar ahora mismo?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Qué necesitarías escuchar ahora mismo?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
312,hoy me siento triste y no se por que,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Desde cuándo te sientes así?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Desde cuándo te sientes así?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
313,ultimamente me siento triste y no se por que,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Esta tristeza aparece todo el día o por momentos?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Esta tristeza aparece todo el día o por momentos?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
314,me siento triste y no se por que y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Sabes qué pudo causar esta tristeza?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Sabes qué pudo causar esta tristeza?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
315,me siento triste y no se por que puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.",No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Hay alguien cercano con quien puedas hablar hoy?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Hay alguien cercano con quien puedas hablar hoy?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
316,me siento triste despues de clases,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.","Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Qué necesitarías escuchar ahora mismo?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Qué necesitarías escuchar ahora mismo?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
317,hoy me siento triste despues de clases,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Desde cuándo te sientes así?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Desde cuándo te sientes así?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
318,ultimamente me siento triste despues de clases,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.","Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Quieres contarme qué fue lo más difícil de tu día?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Quieres contarme qué fue lo más difícil de tu día?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
319,me siento triste despues de clases y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Sabes qué pudo causar esta tristeza?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Sabes qué pudo causar esta tristeza?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
320,me siento triste despues de clases puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Hay alguien cercano con quien puedas hablar hoy?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Hay alguien cercano con quien puedas hablar hoy?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
321,me siento triste en mi casa,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Esta tristeza aparece todo el día o por momentos?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Esta tristeza aparece todo el día o por momentos?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
322,hoy me siento triste en mi casa,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Desde cuándo te sientes así?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Desde cuándo te sientes así?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
323,ultimamente me siento triste en mi casa,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.","Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Quieres contarme qué fue lo más difícil de tu día?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Quieres contarme qué fue lo más difícil de tu día?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
324,me siento triste en mi casa y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Qué necesitarías escuchar ahora mismo?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Qué necesitarías escuchar ahora mismo?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
325,me siento triste en mi casa puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.",No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Hay alguien cercano con quien puedas hablar hoy?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Hay alguien cercano con quien puedas hablar hoy?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
326,me siento triste desde hace dias,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Esta tristeza aparece todo el día o por momentos?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Esta tristeza aparece todo el día o por momentos?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
327,hoy me siento triste desde hace dias,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Sabes qué pudo causar esta tristeza?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Sabes qué pudo causar esta tristeza?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
328,ultimamente me siento triste desde hace dias,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.","Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Quieres contarme qué fue lo más difícil de tu día?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Quieres contarme qué fue lo más difícil de tu día?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
329,me siento triste desde hace dias y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Qué necesitarías escuchar ahora mismo?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Qué necesitarías escuchar ahora mismo?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
330,me siento triste desde hace dias puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.","Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Desde cuándo te sientes así?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Desde cuándo te sientes así?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
331,me siento triste y quiero aislarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.",¿Esta tristeza aparece todo el día o por momentos?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Haz algo mínimo que te conecte con el presente: ordenar tu cama, abrir una ventana o caminar un poco.

¿Esta tristeza aparece todo el día o por momentos?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
332,hoy me siento triste y quiero aislarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Sabes qué pudo causar esta tristeza?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Sabes qué pudo causar esta tristeza?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
333,ultimamente me siento triste y quiero aislarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Hay alguien cercano con quien puedas hablar hoy?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Hay alguien cercano con quien puedas hablar hoy?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
334,me siento triste y quiero aislarme y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Qué necesitarías escuchar ahora mismo?,"Gracias por confiar. Podemos ir poco a poco, sin presionarte a sentirte bien de inmediato.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Qué necesitarías escuchar ahora mismo?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
335,me siento triste y quiero aislarme puedes ayudarme,tristeza,apoyo_tristeza,TRISTE,MEDIA,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.","Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.",¿Desde cuándo te sientes así?,"La tristeza puede hacer que todo parezca más difícil, pero no tienes que enfrentarla solo.

Recomendación: Si esta tristeza se mantiene varios días, sería bueno hablar con el área de psicología.

¿Desde cuándo te sientes así?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
336,no tengo ganas de nada,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.",No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.,¿Quieres contarme qué fue lo más difícil de tu día?,"Lo que sientes merece ser escuchado, incluso si todavía no sabes cómo explicarlo.

Recomendación: No te obligues a estar bien de inmediato; empieza por cuidarte de forma simple.

¿Quieres contarme qué fue lo más difícil de tu día?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
337,hoy no tengo ganas de nada,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.","Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.",¿Sabes qué pudo causar esta tristeza?,"Lamento que te sientas así. Gracias por contármelo, no tienes que guardarlo todo por dentro.

Recomendación: Intenta hacer una acción pequeña: lavarte la cara, tomar agua o salir a respirar unos minutos.

¿Sabes qué pudo causar esta tristeza?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
338,ultimamente no tengo ganas de nada,tristeza,apoyo_tristeza,TRISTE,MEDIA,Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.,"Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.",¿Hay alguien cercano con quien puedas hablar hoy?,"Siento que estés pasando por un momento triste. A veces hablarlo ayuda a que pese un poco menos.

Recomendación: Escribe qué pasó y cómo te hizo sentir, sin juzgarte por lo que escribas.

¿Hay alguien cercano con quien puedas hablar hoy?",activacion_conductual,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
339,no tengo ganas de nada y necesito ayuda,tristeza,apoyo_tristeza,TRISTE,MEDIA,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.","Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?",¿Esta tristeza aparece todo el día o por momentos?,"Es válido sentir tristeza. No significa que seas débil, significa que algo dentro de ti necesita atención.

Recomendación: Busca a alguien de confianza y dile: hoy no me siento bien, ¿puedes escucharme un momento?

¿Esta tristeza aparece todo el día o por momentos?",validacion_emocional,emocional,RECOMENDADO,MEDIA,Registrar análisis emocional
